Date;Price
2008-09-02;465.25
2008-09-03;464.41
2008-09-04;450.26
2008-09-05;444.25
2008-09-08;419.95
2008-09-09;418.66
2008-09-10;414.16
2008-09-11;433.75
2008-09-12;437.66
2008-09-15;433.86
2008-09-16;442.93
2008-09-17;414.49
2008-09-18;439.08
2008-09-19;449.15
2008-09-22;430.14
2008-09-23;429.27
2008-09-24;435.11
2008-09-25;439.60
2008-09-26;431.04
2008-09-29;381.00
2008-09-30;400.52
2008-10-01;411.72
2008-10-02;390.49
2008-10-03;386.91
2008-10-06;371.21
2008-10-07;346.01
2008-10-08;338.11
2008-10-09;328.98
2008-10-10;332.00
2008-10-13;381.02
2008-10-14;362.71
2008-10-15;339.17
2008-10-16;353.02
2008-10-17;372.54
2008-10-20;379.32
2008-10-21;362.75
2008-10-22;355.67
2008-10-23;352.32
2008-10-24;339.29
2008-10-27;329.49
2008-10-28;368.75
2008-10-29;358.00
2008-10-30;359.69
2008-10-31;359.36
2008-11-03;346.49
2008-11-04;366.94
2008-11-05;342.24
2008-11-06;331.22
2008-11-07;331.14
2008-11-10;318.78
2008-11-11;311.46
2008-11-12;291.00
2008-11-13;312.08
2008-11-14;310.02
2008-11-17;300.12
2008-11-18;297.42
2008-11-19;280.18
2008-11-20;259.56
2008-11-21;262.43
2008-11-24;257.44
2008-11-25;282.05
2008-11-26;292.09
2008-11-27;292.09
2008-11-28;292.96
2008-12-01;265.99
2008-12-02;275.11
2008-12-03;279.43
2008-12-04;274.34
2008-12-05;283.99
2008-12-08;302.11
2008-12-09;305.97
2008-12-10;308.82
2008-12-11;300.22
2008-12-12;315.76
2008-12-15;310.67
2008-12-16;325.28
2008-12-17;315.24
2008-12-18;310.28
2008-12-19;310.17
2008-12-22;297.11
2008-12-23;298.02
2008-12-24;302.95
2008-12-25;302.95
2008-12-26;300.36
2008-12-29;297.42
2008-12-30;303.11
2008-12-31;307.65
2009-01-01;307.65
2009-01-02;321.32
2009-01-05;328.05
2009-01-06;334.06
2009-01-07;322.01
2009-01-08;325.19
2009-01-09;315.07
2009-01-12;312.69
2009-01-13;314.32
2009-01-14;300.97
2009-01-15;298.99
2009-01-16;299.67
2009-01-20;282.75
2009-01-21;303.08
2009-01-22;306.50
2009-01-23;324.70
2009-01-26;323.87
2009-01-27;331.48
2009-01-28;348.67
2009-01-29;343.32
2009-01-30;338.53
2009-02-02;340.57
2009-02-03;340.45
2009-02-04;343.00
2009-02-05;353.72
2009-02-06;371.28
2009-02-09;378.77
2009-02-10;358.51
2009-02-11;358.04
2009-02-12;363.05
2009-02-13;357.68
2009-02-17;342.66
2009-02-18;353.11
2009-02-19;342.64
2009-02-20;346.45
2009-02-23;330.06
2009-02-24;345.45
2009-02-25;341.64
2009-02-26;337.18
2009-02-27;337.99
2009-03-02;327.16
2009-03-03;325.48
2009-03-04;318.92
2009-03-05;305.64
2009-03-06;308.57
2009-03-09;290.89
2009-03-10;308.17
2009-03-11;317.91
2009-03-12;323.53
2009-03-13;324.42
2009-03-16;319.69
2009-03-17;335.34
2009-03-18;333.10
2009-03-19;329.94
2009-03-20;330.16
2009-03-23;348.60
2009-03-24;347.16
2009-03-25;344.07
2009-03-26;353.29
2009-03-27;347.70
2009-03-30;342.69
2009-03-31;348.06
2009-04-01;354.09
2009-04-02;362.50
2009-04-03;369.78
2009-04-06;368.24
